ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
39,London,Wimbledon,29/06/15,Grand Slam,Outdoor,Grass,1st Round,5,Broady L.,Matosevic M.,182,138,282,391,5,7,4,6,6,3,6,2,6,3,3,2,Completed,2.62,1.44,2.6,1.48,2.62,1.44,2.95,1.46,3,1.48,2.75,1.43
39,London,Wimbledon,29/06/15,Grand Slam,Outdoor,Grass,1st Round,5,Cilic M.,Moriya H.,9,174,3540,294,6,3,6,2,7,6,,,,,3,0,Completed,1.02,17,1.03,11,1.03,12,1.03,20,1.04,20,1.02,14.85
39,London,Wimbledon,29/06/15,Grand Slam,Outdoor,Grass,1st Round,5,Berankis R.,Haider-Maurer A.,90,57,577,857,6,2,5,2,,,,,,,1,0,Retired,1.5,2.5,1.52,2.45,1.53,2.38,1.54,2.66,1.57,2.7,1.51,2.54
39,London,Wimbledon,29/06/15,Grand Slam,Outdoor,Grass,1st Round,5,Thiem D.,Sela D.,30,85,1235,617,2,6,6,3,6,4,6,4,,,3,1,Completed,1.53,2.37,1.5,2.5,1.53,2.38,1.63,2.44,1.63,2.6,1.54,2.45
39,London,Wimbledon,29/06/15,Grand Slam,Outdoor,Grass,1st Round,5,Granollers M.,Tipsarevic J.,72,486,715,76,6,3,6,4,6,2,,,,,3,0,Completed,1.57,2.25,1.62,2.25,1.53,2.38,1.6,2.5,1.65,2.51,1.57,2.37
39,London,Wimbledon,29/06/15,Grand Slam,Outdoor,Grass,1st Round,5,Goffin D.,Zeballos H.,15,128,2010,431,7,6,6,1,6,1,,,,,3,0,Completed,1.11,6.5,1.13,5.5,1.11,6,1.13,7.22,1.14,7.5,1.11,6.22
39,London,Wimbledon,29/06/15,Grand Slam,Outdoor,Grass,1st Round,5,Verdasco F.,Klizan M.,43,39,1045,1100,4,6,6,2,6,3,6,7,13,11,3,2,Completed,1.28,3.5,1.28,3.5,1.3,3.4,1.32,3.74,1.33,3.75,1.29,3.52
39,London,Wimbledon,29/06/15,Grand Slam,Outdoor,Grass,1st Round,5,Kyrgios N.,Schwartzman D.,29,64,1245,760,6,0,6,2,7,6,,,,,3,0,Completed,1.04,13,1.05,9,1.04,11,1.06,12.5,1.06,13,1.04,10.78
39,London,Wimbledon,29/06/15,Grand Slam,Outdoor,Grass,1st Round,5,Mayer L.,Kokkinakis T.,21,71,1605,723,7,6,7,6,6,4,,,,,3,0,Completed,1.53,2.37,1.52,2.45,1.5,2.5,1.64,2.42,1.64,2.55,1.56,2.39
39,London,Wimbledon,29/06/15,Grand Slam,Outdoor,Grass,1st Round,5,Isner J.,Soeda G.,17,91,1890,575,7,6,6,4,6,4,,,,,3,0,Completed,1.06,10,1.08,7,1.07,7.5,1.09,9.16,1.09,10.4,1.07,8.44
39,London,Wimbledon,29/06/15,Grand Slam,Outdoor,Grass,1st Round,5,Djokovic N.,Kohlschreiber P.,1,33,13845,1195,6,4,6,4,6,4,,,,,3,0,Completed,1.03,15,1.01,12,1.03,12,1.05,13,1.05,16.5,1.03,12.4
39,London,Wimbledon,29/06/15,Grand Slam,Outdoor,Grass,1st Round,5,Nieminen J.,Hewitt L.,92,118,564,465,3,6,6,3,4,6,6,0,11,9,3,2,Completed,2.37,1.53,2.45,1.52,2.38,1.57,2.47,1.61,2.55,1.61,2.4,1.55
39,London,Wimbledon,29/06/15,Grand Slam,Outdoor,Grass,1st Round,5,Monaco J.,Mayer F.,35,294,1170,163,6,1,6,2,6,4,,,,,3,0,Completed,3.4,1.3,3.2,1.33,3,1.36,3.4,1.37,3.4,1.41,3.15,1.35
39,London,Wimbledon,29/06/15,Grand Slam,Outdoor,Grass,1st Round,5,Nishikori K.,Bolelli S.,5,55,5660,871,6,3,6,7,6,2,3,6,6,3,3,2,Completed,1.22,4,1.22,4,1.25,4,1.25,4.46,1.27,4.46,1.23,3.99
39,London,Wimbledon,29/06/15,Grand Slam,Outdoor,Grass,1st Round,5,Tomic B.,Struff J.L.,26,112,1355,478,6,3,3,6,2,6,6,2,6,3,3,2,Completed,1.16,5,1.17,4.75,1.14,5,1.16,6.17,1.18,6.71,1.15,5.21
39,London,Wimbledon,29/06/15,Grand Slam,Outdoor,Grass,1st Round,5,De Schepper K.,Smith J.P.,163,160,320,323,4,6,4,6,7,6,6,4,6,4,3,2,Completed,1.53,2.37,1.55,2.4,1.53,2.38,1.61,2.49,1.61,2.52,1.55,2.41
39,London,Wimbledon,29/06/15,Grand Slam,Outdoor,Grass,1st Round,5,Raonic M.,Gimeno-Traver D.,8,63,4440,763,6,2,6,3,3,6,7,6,,,3,1,Completed,1.02,17,1.03,10,1.02,15,1.03,17.5,1.04,20.25,1.02,14.66
39,London,Wimbledon,29/06/15,Grand Slam,Outdoor,Grass,1st Round,5,Haas T.,Lajovic D.,861,86,20,615,6,2,6,3,4,6,6,2,,,3,1,Completed,1.53,2.37,1.55,2.4,1.53,2.38,1.63,2.44,1.63,2.5,1.57,2.37
39,London,Wimbledon,29/06/15,Grand Slam,Outdoor,Grass,1st Round,5,Ebden M.,Rola B.,148,93,367,549,6,2,6,1,6,4,,,,,3,0,Completed,1.16,5,1.17,4.75,1.17,4.5,1.21,5,1.21,5.53,1.18,4.8
39,London,Wimbledon,29/06/15,Grand Slam,Outdoor,Grass,1st Round,5,Johnson S.,Lacko L.,52,94,895,548,6,3,6,7,4,6,6,1,6,4,3,2,Completed,1.36,3,1.33,3.2,1.36,3,1.33,3.64,1.41,3.64,1.34,3.21
